Song,Performer,track_id,cluster_grouping,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
How 'Bout Them Cowgirls,George Strait,7DJBy7gCXi2NkcgoIvPLcG,92,0.617,0.799,4.0,-4.537,1.0,0.0354,0.395,0.0,0.365,0.452,117.03,4.0
MIC Drop,BTS Featuring Desiigner,7Ed6BkggCS2KaKY5YlINaF,93,0.613,0.8420000000000001,10.0,-4.332,0.0,0.21899999999999997,0.0157,0.0,0.23,0.645,169.917,4.0
No Better Love,Young Gunz Featuring Rell,0K7XjmTNFwQ2qwHn4MjlDx,94,0.674,0.897,8.0,-3.053,1.0,0.259,0.18100000000000002,0.0,0.195,0.525,91.194,4.0
Because I Got High,Afroman,0rRboI6IRuGx56Dq3UdYY4,95,0.8,0.33899999999999997,7.0,-8.531,1.0,0.483,0.166,0.0,0.0791,0.8440000000000001,165.982,4.0
What Happened To That Boy,Baby Featuring Clipse,20Sp7dNLM3NjIu3TInDqjq,273,0.631,0.878,6.0,-6.189,0.0,0.317,0.0587,0.00021,0.0723,0.675,93.307,4.0
Sexy Love,Ne-Yo,10aWGOqSDBqvNzJ9NeKDbK,22,0.622,0.503,8.0,-6.417000000000001,1.0,0.0433,0.265,0.00047300000000000006,0.0596,0.58,93.984,4.0
California Gurls,Katy Perry Featuring Snoop Dogg,6tS3XVuOyu10897O3ae7bi,98,0.7909999999999999,0.754,0.0,-3.7289999999999996,1.0,0.0569,0.00446,0.0,0.163,0.425,125.014,4.0
Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,39YovPslPCXbFYhlYjsZ2Y,99,0.879,0.73,11.0,-4.369,0.0,0.16399999999999998,0.114,0.0,0.24100000000000002,0.885,99.925,4.0
I'm On A Boat,The Lonely Island Featuring T-Pain,3IQSYqnKsCTMLWn2xE3HFT,163,0.622,0.872,0.0,-2.272,1.0,0.264,0.0421,0.0,0.0996,0.643,149.959,4.0
Guess Who's Back,Scarface Featuring Jay-Z & Beanie Sigel,27dUo79lgLEy4Rk5w3UvSL,101,0.742,0.7879999999999999,1.0,-9.197000000000001,1.0,0.31,0.009609999999999999,0.105,0.0864,0.848,85.835,4.0
